lookupId,First Order (from sales data),src_www,src_iphone,src_android,src_ipad,src_manual,src_facebookshop,src_external,src_Amazon FBM,January,February,March,April,May,June,July,August,September,October,November,December,pct_Direct Sales,pct_Orders for Stock,pct_Drop Shipments,pct_Platypus,pct_Moss Motors Only,pct_R&D Club,Units Sold,Base Product Sku,Listing Type,Unit Weight (pounds),retailPrice,make,model,yearMin,yearMax,Revenue 2019 to present,Number of Components,BOM Cost,Sales Channel,Product Type,Designer,Main Component Material,Main Component MFG Process,Main Component Finishing Process
CRCH-0016-210,2/8/20,19.54%,34.48%,57.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.49%,0.00%,11.49%,22.99%,11.49%,8.05%,11.49%,0.00%,34.48%,0.00%,0.00%,80.46%,8.05%,0.00%,0.00%,0.00%,0.00%,10,CRCH-0016,single,0.25,35,Dodge,Dart,2013,2016,304.5,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-221,1/22/19,32.84%,29.85%,37.31%,0.00%,0.00%,0.00%,0.00%,0.00%,17.91%,7.46%,7.46%,0.00%,22.39%,7.46%,14.93%,7.46%,0.00%,0.00%,7.46%,7.46%,89.55%,10.45%,0.00%,0.00%,0.00%,0.00%,14,CRCH-0016,single,0.25,35,Jeep,Renegade,2015,2018,469,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-240,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRCH-0016,single,0.25,35,Dodge,Avenger,2011,2015,0,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-243,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRCH-0016,single,0.25,35,Chevrolet,Equinox,2005,2006,35,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-286,4/30/19,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,2,CRCH-0016,single,0.25,35,FIAT,500L,2013,2018,49,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-312,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRCH-0016,single,0.25,35,Chevrolet,Sonic,2011,2014,0,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-434,1/26/21,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,CRCH-0016,single,0.25,35,Chrysler,300,2005,2015,35,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-505,2/24/20,0.00%,66.67%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,16.67%,0.00%,0.00%,16.67%,0.00%,16.67%,0.00%,16.67%,0.00%,16.67%,83.33%,0.00%,0.00%,0.00%,0.00%,0.00%,6,CRCH-0016,single,0.25,35,Chevrolet,Cruze,2011,2015,210,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-531,4/4/19,19.23%,30.77%,42.31%,0.00%,3.85%,0.00%,0.00%,0.00%,7.69%,11.54%,7.69%,11.54%,7.69%,7.69%,11.54%,11.54%,3.85%,7.69%,7.69%,0.00%,92.31%,0.00%,0.00%,0.00%,0.00%,0.00%,26,CRCH-0016,single,0.25,35,Jeep,Cherokee,2014,2021,910,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-573,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRCH-0016,single,0.25,35,Dodge,Magnum,2005,2008,0,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
